name,phone,category
Ziggs Last Stop Lounge,+15043092507,bar
Sully's,+15043048384,bar
Cy's Bar,+15042799562,bar
Backyard Bar & Grill,+15043722090,bar
Frozen Fantasies,+15042674823,bar
OAB on the River,+15043434777,bar
Sportsman Bar & Lounge,+15043661770,bar
Daiquiri Place,+15043675909,bar
The Beer Box,+19856490470,bar
Daiquiris Now,+19856430657,bar
Daiquiris & Creams Of Slidell,+19857819878,bar
Castaway's Tropical Daiquiris,+19856417033,bar
Backyard Bar & Lounge,+19852017715,bar
Fire N Ice hookah lounge & Bar,+19853743619,bar
Tipsey’s Hole in The Wall,+19852594115,bar
Daiquiris & creams,+19852885938,bar
Flash Nola Mobile Bartending Service,+15042873514,bar
Dell Trailer Bar,+19852880884,bar
Southern Comfort,+19852149141,bar
Landing Bar & Grill,+19856459009,bar
Interference Sports Bar,+19856741655,bar
Donz On the Lake,+19857780262,bar
Two Pour Bartenders,+19853776324,bar
Mandeville Daiquiris,+19856749463,bar
Stemless,+15047560382,bar
Bayou Daiquiris,+19858823339,bar
Da Crab Trap,+19852189700,bar
Plantation Pub,+19856524412,bar
Hammerheads Sports Bar,+19853595704,bar
The Hideaway Laplace,+15044227882,bar
The Pitstop Saloon,+19853318790,bar
Fat Boy's Bar & Grill,+19853315095,bar
Boomerang,+19857648480,bar
Norma's Sweets Bakery,+15043095401,bakery
O'Delice French Bakery,+15048952144,bakery
Haydel's Bake Shop,+15042673165,bakery
Beka's Dozen,+15048120866,bakery
Tastee Restaurant Deli-Donuts,+15049498690,bakery
Croissant D’Or on Chartres,+15043503020,bakery
Crescent Counter,+15043146659,bakery
Tastee Restaurant,+15044839080,bakery
Umai Cookies,+15042701015,bakery
The Cake Lounge,+13059786872,bakery
Nola Cake Studio,+15043097169,bakery
Heavenly Sweets BakeryLLC,+15044849709,bakery
CJ's Cookies LLC,+15043383910,bakery
Cakes & Confections by Bill,+19102732420,bakery
The Sweet Lyfe Confectionery,+15043551760,bakery
Boom’s House of Pound Cakes,+15042648215,bakery
Banh Mi Cali,+15045818475,bakery
El Catracho,+15045339904,bakery
slice by slice,+16013475647,bakery
Sweets By Carmelite,+15044531020,bakery
Cake Craze,+15043613448,bakery
Honey Whip Donuts,+15043980950,bakery
mana bakery cafe,+15043570094,bakery
Katie's,+15042394580,bakery
THE REAL PIE MAN,+15043624545,bakery
Talented Toya's Sweet Reality,+15044592040,bakery
One Smart Cookie Co,+15043046326,bakery
OMGG Pastries,+15044071945,bakery
Mima's Desserts,+15048840150,bakery
JusCookie Unlimited LLC,+15044604520,bakery
Sweet Things Donuts and Grill,+15048341845,bakery
Our Fleur de Lis Creations,+15049755697,bakery
Norma's Sweets Bakery,+15044674309,bakery
Haydel's Bakery Warehouse,+15044716103,bakery
Cookies by Iris,+15045593677,bakery
Creme Fraiche Cafe,+15042874073,bakery
The People's Bakery,+15042852092,bakery
Cakes by MariamB,+15048755698,bakery
Krasie Cakes,+15042476193,bakery
Little J’s Donuts N’ More,+15044702623,bakery
"The Wandering Goat - Sandwiches , Bakery + Gelato",+15049152400,bakery
BakeNTake BAKERY,+15047029116,bakery
Estralita's Cafe / Carryout,+15043408517,bakery
Tasty cream donut,+15626376323,bakery
Johnisha Dream Cakes Bakery,+15046172227,bakery
Aaron's Cafe & Donuts,+15042761099,bakery
"Flour De Lis: Cakes, Catering, & Pastries",+15044946350,bakery
Merita Bread,+15043923733,bakery
"Grannyfaecakes, LLC",+18133636107,bakery
Creative Cookies,+19856390095,bakery
Not Just Donuts,+19856433968,bakery
MIMI'S COOKIE STUDIO,+19856074381,bakery
Colonial Baking Co,+19856415522,bakery
A Little Bite of Heaven Bakery,+19856412000,bakery
Gateaux Gallery by The Gilmeauxs,+15046137212,bakery
D Taste of Elegance,+15042393128,bakery
Deaux and Batter,+15049197349,bakery
Lakhani Enterprise Llc,+19856431334,bakery
Cachita's Bakery,+19855028753,bakery
Canine Crunchies,+19853533730,bakery
Baked by Stef,+19856305379,bakery
Rika donut,+19853471223,bakery
Got Deaux?,+19855908138,bakery
Lacombe Donuts & Breakfast,+19852189290,bakery
Vanessa Sweet Delights Bakery,+15046626680,bakery
Crave Sweetz & Treatz,+15044178522,bakery
Smoothie & Donut,+19852871365,bakery
Tha Smiths Ministry & Kreations,+19858376484,bakery
Donut Land,+19853071000,bakery
Lolo Sugared It,+15049068520,bakery
Simple Sweets,+15043172788,bakery
Yummy Fresh Donuts,+15622864053,bakery
Vieux Carre Wingery,+15045222333,meal_delivery
El chele micheladas,+15043158571,meal_delivery
La Cocina De Karla,+15043461575,meal_delivery
"Al Forno, Fried Chicken & wings",+15044619111,meal_delivery
Clean Course,+15042650417,meal_delivery
Magnolia Mansion,+15044129500,hair_salon
Hematology And Oncology Specs,+15048978970,hair_salon
"Schabelman & Vorhoff, APMC",+15048955579,hair_salon
Gitter Kurt a MD,+15048953961,hair_salon
Internal Medicine Specialists: Rodriquez Eduardo E MD,+15046482520,hair_salon
Voodoo Experience,+18885127469,hair_salon
Evans Gerald H DDS,+15046198721,hair_salon
Hochstedler J Lee DDS,+15046198721,hair_salon
Reddy Likith V MD,+15046198721,hair_salon
Rushan Susan DDS,+15046198721,hair_salon
Yukna Raymond a DDS,+15046198721,hair_salon
Barsley Robert DDS,+15046198693,hair_salon
Salti Samer DDS,+15049418257,hair_salon
Reidy Mary E a DDS,+15046198721,hair_salon
"Billie G Jeansonne, DDS",+15049418395,hair_salon
So Joseph S DDS,+15046198721,hair_salon
Mardi Gras RV Park,+15042430433,hair_salon
Relax Inn & suites,+15042549140,hair_salon
Royal Inn of New Orleans,+15049432481,hair_salon
Que Huong Market Inc,+15042539840,hair_salon
Economy Inn,+15042467575,hair_salon
The Krewe,+16024004004,hair_salon
District 2 Enhancement Corporation,+15042440090,hair_salon
Greater New Home Baptist Church,+15046840003,hair_salon
Green Grants,+15042559860,hair_salon
She She's,+15042410380,hair_salon
Alpha Phi Alpha Fraternity,+15042456445,hair_salon
Kids First New Orleans East,+15046620644,hair_salon
Make It Right,+15049439944,hair_salon
Ursick William DDS,+15048876453,hair_salon
American Thrift & Finance Plan,+15048225333,hair_salon
Lap-Band fill and adjustment,+15044648619,hair_salon
Kenner Physician Associates,+15047127000,hair_salon
Hernias repair in New Orleans,+15044648619,hair_salon
Mando Wagih MD FACS,+15044648619,hair_salon
Muncie Herbert MD,+15044712750,hair_salon
Khan Fawad a MD,+15048425585,hair_salon
Dowling Adam M MD,+15048425585,hair_salon
Jefferson Parish Media Info,+15047366410,hair_salon
Jefferson Parish Election Department,+15047366394,hair_salon
Jefferson Parish Special Event,+15047366771,hair_salon
Jefferson Parish Chief Administration,+15047366403,hair_salon
ABB Turbocharging Service Station,+15047330266,hair_salon
Acousti William MD,+15048969569,hair_salon
Collins C Diboll Art Gallery - Loyola Campus,+15048647248,hair_salon
Sinclair Diane M MD,+15048969532,hair_salon
Children's Hospital: Kretschmer Theodore E MD,+15048999511,hair_salon
Wells Lindsey MD,+15048962888,hair_salon
Narang Anuj S MD,+15048969532,hair_salon
Schuth Claudia MD,+15044121100,hair_salon
Keely Carlisle Lauren MD,+15048969532,hair_salon
Marion's Cleaners & Alterations,+15047021203,hair_salon
Anwar Asif MD,+15043785080,hair_salon
Kingdom Building Ministries,+15043931954,hair_salon
Tulane Heart & Vascular Institute: Arain Salman MD,+15043785080,hair_salon
Tulane Heart & Vascular Institute: Cassidy Mark MD,+15043785080,hair_salon
Delafontaine Patrice MD,+15043785080,hair_salon
Dugal John MD,+15043785080,hair_salon
Tulane Heart & Vascular Institute: Pigott John MD,+15043785080,hair_salon
Tulane Heart & Vascular Institute: Goldman Corey MD,+15043785080,hair_salon
Frederick J Sigur Civic Center,+15042781506,hair_salon
Cooperative Extension Services,+15042784234,hair_salon
St Bernard Parish Fire Department,+15042784275,hair_salon
Deloney Len T Co,+15043941961,hair_salon
Neurology Clinic: Cook Patricia S MD,+19858824500,hair_salon
Lambert Lee a MD,+19856907500,hair_salon
Cardtronics ATM,+18007869666,hair_salon
St John Parish Jail Bail Bonds,+19856522245,hair_salon
Allied Express,+19856519322,hair_salon
Burroughs William MD,+19857851550,hair_salon
St Charles Veterans Services Office,+19857832221,hair_salon
"Regal Nails, Salon & Spa",+15042706091,beauty_salon
Steven Sobel Salon,+15048840225,beauty_salon
Star Nails,+15048951781,beauty_salon
Everybody Skincare Studio,+15042878558,beauty_salon
Beauty Lab LLC,+15048918803,beauty_salon
One 2 One Salon,+15048620010,beauty_salon
Studio Liv beauty Salon,+15049409023,beauty_salon
Who Dat Nail Spa II,+15048729600,beauty_salon
Weldon Salon,+15047569128,beauty_salon
Da Hair Connect,+15042677502,beauty_salon
Gretchen's Hair Art,+15043663667,beauty_salon
Elevations,+15048940090,beauty_salon
Creative Concepts In New Orleans LLC,+15048217460,beauty_salon
Kim's Hair Design,+15048915592,beauty_salon
Amy's Nail Salon,+15042692822,beauty_salon
Hollywood Nail & Spa III,+15043040421,beauty_salon
MLV Nails Studio,+15043021040,beauty_salon
Royal Nubian Skincare,+15043730573,beauty_salon
Edinburgh Williams Beauty Salon,+15049459340,beauty_salon
Pure Salon,+15046217911,beauty_salon
N 2 Hair Beauty Salon,+15049452525,beauty_salon
Sarone's House of Beauty,+15049438366,beauty_salon
April Spa Nails,+15045257669,beauty_salon
"Regal Nails, Salon & Spa",+15045879100,beauty_salon
Nail Spa 27,+15043041377,beauty_salon
Afritude Hair Braiding,+15049499995,beauty_salon
Hollywood Nail & Spa,+15048228099,beauty_salon
All Natural Hair Shop,+15049430666,beauty_salon
Ellushions Natural Hair Studio,+15045414706,beauty_salon
Keith Noonan Salon,+15044821866,beauty_salon
La Vie Jolie LLC,+15043093789,beauty_salon
Estella's Too,+15048338979,beauty_salon
Venus Spa & Nail LLC,+15043045985,beauty_salon
K-Brown's Hair Gallery,+15049522925,beauty_salon
Revive The Lakeview,+15042658761,beauty_salon
Live Art Studio,+15044847245,beauty_salon
Tiffany Nails Spa,+15043422293,beauty_salon
Le Parc Salon,+15043094376,beauty_salon
Nail & Spa,+15044860036,beauty_salon
Klip Joint Beauty Salon,+15044340995,beauty_salon
Friends Salon LLC,+15049438383,beauty_salon
Angel Nails ll,+15044336598,beauty_salon
New York Nails,+15042865655,beauty_salon
Pro Nail,+15042482008,beauty_salon
Andrea's Hair Studio,+15042334447,beauty_salon
California Nails,+15049423744,beauty_salon
Hollywood Nails & Spa V,+15042730468,beauty_salon
Lotus Hair Spa,+15049054916,beauty_salon
Queen Nails,+15042830735,beauty_salon
Love Nails III,+15047660581,beauty_salon
Geaux Naked-1901 Manhattan Blvd,+15044580995,beauty_salon
Shades Studio by Strawberricurls,+15044578671,beauty_salon
Skin Within,+15044600298,beauty_salon
Between the Shears,+15049430873,beauty_salon
LA Nails and Hair Spa,+15043022864,beauty_salon
Happy Nails,+15045102754,beauty_salon
Arydyss International Body Magic,+15046215551,beauty_salon
Tip N Toe,+15042406868,beauty_salon
Minh Thuan Beauty Salon,+15042544866,beauty_salon
Happy Nails Spa,+15048269896,beauty_salon
The Nails Palace LLC,+15042431122,beauty_salon
"Regal Nails, Salon & Spa",+15046843889,beauty_salon
Nail Studio,+15042487188,beauty_salon
Too Tuff Hair Salon,+15042413343,beauty_salon
Lumi Nails and Salon,+15043541090,beauty_salon
PALACE NAIL BAR,+15043814800,beauty_salon
Beloved Salon Suites,+15046105628,beauty_salon
La Bella Nails,+15043022610,beauty_salon
Pretty & Siddity,+15043459288,beauty_salon
Transformher Beauty Salon,+15043244126,beauty_salon
Styled by Sharell Hair Studio,+15043581077,beauty_salon
Swagg Lab Aesthetics,+15043765365,beauty_salon
All About You Hair & Nail Sln,+15042405055,beauty_salon
Neauxla Luxury Salon Suites LLC,+15043356304,beauty_salon
RockCandy Aesthetics,+15043132972,beauty_salon
T & M Nail Design,+15042402090,beauty_salon
"Regal Nails, Salon & Spa",+15042417555,beauty_salon
Love Nails #1,+15043049141,beauty_salon
Kim Thoa Beauty Salon,+15042541909,beauty_salon
The Candy Shop NOLA,+15048847096,beauty_salon
Rem And Merry Hair Saloon,+15047549585,beauty_salon
Nail Studio,+15042406699,beauty_salon
Nail To You,+15042454545,beauty_salon
Sunny Nail Spa,+15043548318,beauty_salon
The Toya Xperience Studio,+15043725224,beauty_salon
L T Nails & Spa,+15042418666,beauty_salon
Destiny's Place of Style,+15042439953,beauty_salon
VIP Nails,+15042404090,beauty_salon
Lagi Nails & Spa Salon,+15045132754,beauty_salon
Hot Nail Spa,+15045926990,beauty_salon
Cc Beauty Salon,+15044447372,beauty_salon
Active Nails & Spa,+15043981544,beauty_salon
Salon Jolie Spa,+15043937770,beauty_salon
Head Gamz Salon,+15043922777,beauty_salon
Certified Lashes,+15044449385,beauty_salon
Dugas Hair Designs,+15043689363,beauty_salon
A-list hair studio,+15049404714,beauty_salon
Classique Nails,+15043912300,beauty_salon
Cuc's Hair Salon,+15043478864,beauty_salon
Solar Q Nails,+15043685300,beauty_salon
Thousand Nails,+15043929942,beauty_salon
"Regal Nails, Salon & Spa",+15043549033,beauty_salon
Art of Beauty Braiding Salon,+15043629906,beauty_salon
Snow Nails,+15042270660,beauty_salon
Vive Nail Spa,+15043666010,beauty_salon
Uneekly Shek Hair Studio,+15042480671,beauty_salon
Lady Lash Haus,+15043348811,beauty_salon
Luna Nails and Spa,+15048419023,beauty_salon
NOLA Electrolysis,+15043930123,beauty_salon
Phoenix Laser Services,+15042591552,beauty_salon
Nails R Us,+15048891994,beauty_salon
Les Cavalier Hair Studio,+15048833885,beauty_salon
Salon Callidora,+15044561099,beauty_salon
Euphoria Hair Lounge,+15043715219,beauty_salon
TEASED BY JEN,+15042366853,beauty_salon
"The House of Style (previously known as, Giorgio House of Style"")""",+15048854000,beauty_salon
Champagne & Co Hair Design Inc,+15048351307,beauty_salon
Blush Nail Lounge & Spa,+15048880624,beauty_salon
Phoenix Laser Services,+15042591552,beauty_salon
Aesthetic Laser Institute,+15043097048,beauty_salon
"Beautique Waxing Spa, LLC",+15043158023,beauty_salon
Athena Nails & Spa,+15047790130,beauty_salon
Amber Buxton - Hair Stylist,+15047176822,beauty_salon
The Nail Place,+15043046251,beauty_salon
"Regal Nails, Salon & Spa",+15047343337,beauty_salon
Wonder Cuts,+15044434688,beauty_salon
LKD Nails,+15044436117,beauty_salon
Salon Salon LLC,+15044641280,beauty_salon
Mane Artistry,+15044664211,beauty_salon
Chateau Nail Salon,+15044691734,beauty_salon
Capelli Salon,+15044435003,beauty_salon
Changing Faces Aesthetics,+15049081101,beauty_salon
Capital Nails,+15048880787,beauty_salon
Happy Nails,+15047382685,beauty_salon
Sr Spa Nails,+15048856883,beauty_salon
Sharp Image Hair Salon,+15047124774,beauty_salon
Wonder Cuts,+15044669944,beauty_salon
Sally's Nail Salon,+15044560777,beauty_salon
Ana Beauty Salon,+15044431186,beauty_salon
"Regal Nails, Salon & Spa",+15044674300,beauty_salon
Ann's Nail Salon,+15047334290,beauty_salon
Ceci's Salon,+15044682323,beauty_salon
Le's Nails,+15044661141,beauty_salon
Mary's Nails,+15043053045,beauty_salon
Perfectionz #2 Nails & Gifts,+15043383038,beauty_salon
Image Maker,+15044666976,beauty_salon
Get Polished Nails and Spa Studio,+15043140196,beauty_salon
Fay_ Beauty,+15045056208,beauty_salon
Top Line Nails Salon,+15044610114,beauty_salon
Westland Beauty Salon,+15044661006,beauty_salon
Erika's Nail Estudio,+15042492545,beauty_salon
Glamour Hair Salón,+15043388593,beauty_salon
Orchid Nails & Salon,+15046673009,beauty_salon
Beauty salon,+15046628015,beauty_salon
Hats Off,+15047386128,beauty_salon
Reflections Hair Salon-Harahan,+15047370206,beauty_salon
Base Coat Nailbar,+15044702300,beauty_salon
CB's Cutups,+15047331455,beauty_salon
Bella Rae Salon and Spa,+15046673135,beauty_salon
Natural Nails & Tanning,+15047385085,beauty_salon
"HAIR COTTAGE Salon, LLC",+15047374982,beauty_salon
Applause,+15047377774,beauty_salon
Salon Citrine,+15045102227,beauty_salon
Quality Nails Salon,+15047398435,beauty_salon
I Heart Nails,+15043053188,beauty_salon
Eris Beaute,+15046673354,beauty_salon
Genius Nails,+15043095192,beauty_salon
Sky Nail,+15048182421,beauty_salon
Tina's Beauty Salon,+15047337371,beauty_salon
Pretty Nails,+15043470710,beauty_salon
Hi-Tech Hair & Nail Salon,+15043478245,beauty_salon
Crystal Nails,+15043482725,beauty_salon
Tiffany Nails Inc,+15043281819,beauty_salon
Silver Nails,+15043281344,beauty_salon
Serenity Nail Spa,+15048952345,beauty_salon
Headz N Headz,+15043336750,beauty_salon
Marys Nails,+15043281993,beauty_salon
V - Nail & Spa,+15043474800,beauty_salon
Aurora Hair & Nails,+15043498003,beauty_salon
Cindy’s Nail & Spa,+15049001939,beauty_salon
Zen Skin NOLA,+15045799639,beauty_salon
Everybody Skincare Studio,+15042878558,beauty_salon
Glamor Palace,+15043475252,beauty_salon
Dazzling Nail Spa,+15047083224,beauty_salon
Jessica Nail’s,+15045181810,beauty_salon
Hair Den,+15043012752,beauty_salon
Southern Male,+15043093387,beauty_salon
Nail'd By A Slay Cave,+15042233835,beauty_salon
Sisters Nails & Spa,+15047154045,beauty_salon
Nail's First,+15042716881,beauty_salon
Dorene's Salon & Spa,+15042718343,beauty_salon
Yvette's Just Teasin Beauty Salon,+15043099700,beauty_salon
Tammy Nails,+15048586764,beauty_salon
Savvy Faces Beauty Bar,+15043865567,beauty_salon
Salon 360,+15042673921,beauty_salon
Kelly's Nail Spa,+15042524803,beauty_salon
Modern Nails,+15042778533,beauty_salon
Pretty Nails,+15042812221,beauty_salon
Exotic Nail & Hair Salon,+15042785755,beauty_salon
Paris Nails & Spa,+15042674777,beauty_salon
Emily Hair & Nails LLC,+15042715001,beauty_salon
A & T Nail Salon,+15043244990,beauty_salon
Mindy’s Nail Salon,+15043913551,beauty_salon
"Cuttin' Up Barber & Beauty Sln, LLC",+15044337889,beauty_salon
Stylish Nails,+15044334334,beauty_salon
Cuttin' Up,+19856493659,beauty_salon
Diva Capelli Salon LLC,+19858471111,beauty_salon
Happy Nails - Spa,+19856412338,beauty_salon
Art of the Eyebrows LLC,+19856462995,beauty_salon
Upscale Hair Design LLC,+19856417144,beauty_salon
Family Cuts,+19857810021,beauty_salon
Clover Nails and Spa,+19852017405,beauty_salon
Hollywood Nails,+19858470999,beauty_salon
Wonder Cuts,+19856430940,beauty_salon
Allure Hair Studio,+19857812887,beauty_salon
"Regal Nails, Salon & Spa",+19857265010,beauty_salon
Star Nails,+19856411550,beauty_salon
Emilie's Nails,+19856498954,beauty_salon
Becca's Hair Studio,+19856458865,beauty_salon
P C's Nails,+19857071055,beauty_salon
Full Circle Hair Studio,+19852592486,beauty_salon
Electrolysis by Mary Lee Holliday,+15042366695,beauty_salon
Riviera,+19857277201,beauty_salon
HAIR WE ARE,+19857275511,beauty_salon
Southern Belle Hair And Makeup Studio,+19857059127,beauty_salon
Tip Top Nails,+19857274298,beauty_salon
Eleventh Street,+19856261999,beauty_salon
Modern Nail Salon,+19856740606,beauty_salon
J-Elle,+15048582295,beauty_salon
Aly Nails Spa,+19856189500,beauty_salon
Luna Nails,+19856511999,beauty_salon
"Integrative Health Spa, LLC",+15042518603,beauty_salon
G&G Hair Designs A Paul Mitchell Focus Hair Salon and Barber Shop,+19852101180,beauty_salon
Kim's Nails,+19852121102,beauty_salon
Nail Laplace,+19853596768,beauty_salon
Hair Headquarters,+19856523655,beauty_salon
The Hair Bar,+12254492022,beauty_salon
Designer Nails,+19856538189,beauty_salon
Jazzed by jazz,+15043278922,beauty_salon
Metamorphosis 180 LLC,+15045160969,beauty_salon
enhanced beauty beautique,+15042597882,beauty_salon
Toni & Company Hair Salon,+19857644407,beauty_salon
Ciel Nail Spa,+15047177293,beauty_salon
Candies & Co Hair & Nails,+19857852135,beauty_salon
Head Hunters Hair Salon,+19857859048,beauty_salon
V Solar Nails-N-Spa,+19853318012,beauty_salon
