name,phone,category,full_url,short_url,sms_message,msg_chars,segments
Dunkin',+19853599244,restaurant,https://inkthorn.ai/crustacean?claim=dunkin&cat=restaurant,https://inkt.ai/c/dunkin,Hi Dunkin' — your free GEO website is ready to claim: https://inkt.ai/c/dunkin Reply STOP to opt out,100,1
Beijing,+19853318885,restaurant,https://inkthorn.ai/crustacean?claim=beijing&cat=restaurant,https://inkt.ai/c/beijing,Hi Beijing — your free GEO website is ready to claim: https://inkt.ai/c/beijing Reply STOP to opt out,101,1
Uchi Sushi,+19853071080,restaurant,https://inkthorn.ai/crustacean?claim=uchi-sushi&cat=restaurant,https://inkt.ai/c/uchi-sushi,Hi Uchi Sushi — your free GEO website is ready to claim: https://inkt.ai/c/uchi-sushi Reply STOP to opt out,107,1
Musical Legends Park,+15048887608,cafe,https://inkthorn.ai/crustacean?claim=musical-legends-park&cat=cafe,https://inkt.ai/c/musical-legends-park,Hi Musical Legends Park — your free GEO website is ready to claim: https://inkt.ai/c/musical-legends-park Reply STOP to opt out,127,1
NOLA Wesley United Methodist Campus Center,+15048668681,cafe,https://inkthorn.ai/crustacean?claim=nola-wesley-united-methodist-campus-center&cat=cafe,https://inkt.ai/c/nola-wesley-united-methodist-campus-center,Hi NOLA Wesley United Methodist Campus Center — your free GEO website is ready to claim: https://inkt.ai/c/nola-wesley-united-methodist-campus-center Reply STOP to opt out,171,2
The Cafe on 11,+15045611244,cafe,https://inkthorn.ai/crustacean?claim=the-cafe-on-11&cat=cafe,https://inkt.ai/c/the-cafe-on-11,Hi The Cafe on 11 — your free GEO website is ready to claim: https://inkt.ai/c/the-cafe-on-11 Reply STOP to opt out,115,1
Flora Gallery & Coffee Shop,+15049478358,cafe,https://inkthorn.ai/crustacean?claim=flora-gallery-coffee-shop&cat=cafe,https://inkt.ai/c/flora-gallery-coffee-shop,Hi Flora Gallery & Coffee Shop — your free GEO website is ready to claim: https://inkt.ai/c/flora-gallery-coffee-shop Reply STOP to opt out,139,1
Vic's Kangaroo Cafe,+15045244329,cafe,https://inkthorn.ai/crustacean?claim=vics-kangaroo-cafe&cat=cafe,https://inkt.ai/c/vics-kangaroo-cafe,Hi Vic's Kangaroo Cafe — your free GEO website is ready to claim: https://inkt.ai/c/vics-kangaroo-cafe Reply STOP to opt out,124,1
Cafe New Orleans,+12253026102,cafe,https://inkthorn.ai/crustacean?claim=cafe-new-orleans&cat=cafe,https://inkt.ai/c/cafe-new-orleans,Hi Cafe New Orleans — your free GEO website is ready to claim: https://inkt.ai/c/cafe-new-orleans Reply STOP to opt out,119,1
Cafe Michoud,+15042543808,cafe,https://inkthorn.ai/crustacean?claim=cafe-michoud&cat=cafe,https://inkt.ai/c/cafe-michoud,Hi Cafe Michoud — your free GEO website is ready to claim: https://inkt.ai/c/cafe-michoud Reply STOP to opt out,111,1
Phatgirlsoul,+15049300502,cafe,https://inkthorn.ai/crustacean?claim=phatgirlsoul&cat=cafe,https://inkt.ai/c/phatgirlsoul,Hi Phatgirlsoul — your free GEO website is ready to claim: https://inkt.ai/c/phatgirlsoul Reply STOP to opt out,111,1
Starbucks Coffee Company,+15043750370,cafe,https://inkthorn.ai/crustacean?claim=starbucks-coffee-company&cat=cafe,https://inkt.ai/c/starbucks-coffee-company,Hi Starbucks Coffee Company — your free GEO website is ready to claim: https://inkt.ai/c/starbucks-coffee-company Reply STOP to opt out,135,1
Snow World Snowballs & Her Coffee Shoppe,+15044399949,cafe,https://inkthorn.ai/crustacean?claim=snow-world-snowballs-her-coffee-shoppe&cat=cafe,https://inkt.ai/c/snow-world-snowballs-her-coffee-shoppe,Hi Snow World Snowballs & Her Coffee Shoppe — your free GEO website is ready to claim: https://inkt.ai/c/snow-world-snowballs-her-coffee-shoppe Reply STOP to opt out,165,2
Jackpot Coffee House,+15048898101,cafe,https://inkthorn.ai/crustacean?claim=jackpot-coffee-house&cat=cafe,https://inkt.ai/c/jackpot-coffee-house,Hi Jackpot Coffee House — your free GEO website is ready to claim: https://inkt.ai/c/jackpot-coffee-house Reply STOP to opt out,127,1
Le Petit Cafe Coffee House,+15044433720,cafe,https://inkthorn.ai/crustacean?claim=le-petit-cafe-coffee-house&cat=cafe,https://inkt.ai/c/le-petit-cafe-coffee-house,Hi Le Petit Cafe Coffee House — your free GEO website is ready to claim: https://inkt.ai/c/le-petit-cafe-coffee-house Reply STOP to opt out,139,1
Shiloh's Coffee,+15048003479,cafe,https://inkthorn.ai/crustacean?claim=shilohs-coffee&cat=cafe,https://inkt.ai/c/shilohs-coffee,Hi Shiloh's Coffee — your free GEO website is ready to claim: https://inkt.ai/c/shilohs-coffee Reply STOP to opt out,116,1
The Pot Called Kettle,+15047389571,cafe,https://inkthorn.ai/crustacean?claim=the-pot-called-kettle&cat=cafe,https://inkt.ai/c/the-pot-called-kettle,Hi The Pot Called Kettle — your free GEO website is ready to claim: https://inkt.ai/c/the-pot-called-kettle Reply STOP to opt out,129,1
River Ridge Donuts,+15049404176,cafe,https://inkthorn.ai/crustacean?claim=river-ridge-donuts&cat=cafe,https://inkt.ai/c/river-ridge-donuts,Hi River Ridge Donuts — your free GEO website is ready to claim: https://inkt.ai/c/river-ridge-donuts Reply STOP to opt out,123,1
Chez Pierre French Bakery & Café,+15044673176,cafe,https://inkthorn.ai/crustacean?claim=chez-pierre-french-bakery-caf&cat=cafe,https://inkt.ai/c/chez-pierre-french-bakery-caf,Hi Chez Pierre French Bakery & Café — your free GEO website is ready to claim: https://inkt.ai/c/chez-pierre-french-bakery-caf Reply STOP to opt out,148,1
Colby's Cafe,+15042529004,cafe,https://inkthorn.ai/crustacean?claim=colbys-cafe&cat=cafe,https://inkt.ai/c/colbys-cafe,Hi Colby's Cafe — your free GEO website is ready to claim: https://inkt.ai/c/colbys-cafe Reply STOP to opt out,110,1
Metro Foods & Catering Co,+15047373287,cafe,https://inkthorn.ai/crustacean?claim=metro-foods-catering-co&cat=cafe,https://inkt.ai/c/metro-foods-catering-co,Hi Metro Foods & Catering Co — your free GEO website is ready to claim: https://inkt.ai/c/metro-foods-catering-co Reply STOP to opt out,135,1
Fit Blendz,+15042677129,cafe,https://inkthorn.ai/crustacean?claim=fit-blendz&cat=cafe,https://inkt.ai/c/fit-blendz,Hi Fit Blendz — your free GEO website is ready to claim: https://inkt.ai/c/fit-blendz Reply STOP to opt out,107,1
eats inc,+15043723289,cafe,https://inkthorn.ai/crustacean?claim=eats-inc&cat=cafe,https://inkt.ai/c/eats-inc,Hi eats inc — your free GEO website is ready to claim: https://inkt.ai/c/eats-inc Reply STOP to opt out,103,1
NOLA Snowballs and Foods,+15049090600,cafe,https://inkthorn.ai/crustacean?claim=nola-snowballs-and-foods&cat=cafe,https://inkt.ai/c/nola-snowballs-and-foods,Hi NOLA Snowballs and Foods — your free GEO website is ready to claim: https://inkt.ai/c/nola-snowballs-and-foods Reply STOP to opt out,135,1
Algiers Steak & Oyster Cafe,+15043660067,cafe,https://inkthorn.ai/crustacean?claim=algiers-steak-oyster-cafe&cat=cafe,https://inkt.ai/c/algiers-steak-oyster-cafe,Hi Algiers Steak & Oyster Cafe — your free GEO website is ready to claim: https://inkt.ai/c/algiers-steak-oyster-cafe Reply STOP to opt out,139,1
Fresh Food,+15042987435,cafe,https://inkthorn.ai/crustacean?claim=fresh-food&cat=cafe,https://inkt.ai/c/fresh-food,Hi Fresh Food — your free GEO website is ready to claim: https://inkt.ai/c/fresh-food Reply STOP to opt out,107,1
Country Kitchen,+19856265375,cafe,https://inkthorn.ai/crustacean?claim=country-kitchen&cat=cafe,https://inkt.ai/c/country-kitchen,Hi Country Kitchen — your free GEO website is ready to claim: https://inkt.ai/c/country-kitchen Reply STOP to opt out,117,1
Cafetomas,+19857780112,cafe,https://inkthorn.ai/crustacean?claim=cafetomas&cat=cafe,https://inkt.ai/c/cafetomas,Hi Cafetomas — your free GEO website is ready to claim: https://inkt.ai/c/cafetomas Reply STOP to opt out,105,1
Rome's Kitchen,+15042286882,cafe,https://inkthorn.ai/crustacean?claim=romes-kitchen&cat=cafe,https://inkt.ai/c/romes-kitchen,Hi Rome's Kitchen — your free GEO website is ready to claim: https://inkt.ai/c/romes-kitchen Reply STOP to opt out,114,1
Shay's Cafe,+15042940432,cafe,https://inkthorn.ai/crustacean?claim=shays-cafe&cat=cafe,https://inkt.ai/c/shays-cafe,Hi Shay's Cafe — your free GEO website is ready to claim: https://inkt.ai/c/shays-cafe Reply STOP to opt out,108,1
Starbucks Coffee Company,+19852873769,cafe,https://inkthorn.ai/crustacean?claim=starbucks-coffee-company&cat=cafe,https://inkt.ai/c/starbucks-coffee-company,Hi Starbucks Coffee Company — your free GEO website is ready to claim: https://inkt.ai/c/starbucks-coffee-company Reply STOP to opt out,135,1
Jazz Cafe,+19857850200,cafe,https://inkthorn.ai/crustacean?claim=jazz-cafe&cat=cafe,https://inkt.ai/c/jazz-cafe,Hi Jazz Cafe — your free GEO website is ready to claim: https://inkt.ai/c/jazz-cafe Reply STOP to opt out,105,1
Twisted Waffles Cafe,+19853315036,cafe,https://inkthorn.ai/crustacean?claim=twisted-waffles-cafe&cat=cafe,https://inkt.ai/c/twisted-waffles-cafe,Hi Twisted Waffles Cafe — your free GEO website is ready to claim: https://inkt.ai/c/twisted-waffles-cafe Reply STOP to opt out,127,1
Daiquiri Chef,+15043246184,bar,https://inkthorn.ai/crustacean?claim=daiquiri-chef&cat=bar,https://inkt.ai/c/daiquiri-chef,Hi Daiquiri Chef — your free GEO website is ready to claim: https://inkt.ai/c/daiquiri-chef Reply STOP to opt out,113,1
Twin Stop Lounge,+15045219049,bar,https://inkthorn.ai/crustacean?claim=twin-stop-lounge&cat=bar,https://inkt.ai/c/twin-stop-lounge,Hi Twin Stop Lounge — your free GEO website is ready to claim: https://inkt.ai/c/twin-stop-lounge Reply STOP to opt out,119,1
Rain Lounge,+15045090772,bar,https://inkthorn.ai/crustacean?claim=rain-lounge&cat=bar,https://inkt.ai/c/rain-lounge,Hi Rain Lounge — your free GEO website is ready to claim: https://inkt.ai/c/rain-lounge Reply STOP to opt out,109,1
Lucky's Lounge,+15042451329,bar,https://inkthorn.ai/crustacean?claim=luckys-lounge&cat=bar,https://inkt.ai/c/luckys-lounge,Hi Lucky's Lounge — your free GEO website is ready to claim: https://inkt.ai/c/luckys-lounge Reply STOP to opt out,114,1
Overtyme @ FIFTHQUARTER,+15043822749,bar,https://inkthorn.ai/crustacean?claim=overtyme-fifthquarter&cat=bar,https://inkt.ai/c/overtyme-fifthquarter,Hi Overtyme @ FIFTHQUARTER — your free GEO website is ready to claim: https://inkt.ai/c/overtyme-fifthquarter Reply STOP to opt out,131,1
Starz Comedy Club,+15048741225,bar,https://inkthorn.ai/crustacean?claim=starz-comedy-club&cat=bar,https://inkt.ai/c/starz-comedy-club,Hi Starz Comedy Club — your free GEO website is ready to claim: https://inkt.ai/c/starz-comedy-club Reply STOP to opt out,121,1
Juan's Bar,+15043715608,bar,https://inkthorn.ai/crustacean?claim=juans-bar&cat=bar,https://inkt.ai/c/juans-bar,Hi Juan's Bar — your free GEO website is ready to claim: https://inkt.ai/c/juans-bar Reply STOP to opt out,106,1
Barbara's Place,+15042780034,bar,https://inkthorn.ai/crustacean?claim=barbaras-place&cat=bar,https://inkt.ai/c/barbaras-place,Hi Barbara's Place — your free GEO website is ready to claim: https://inkt.ai/c/barbaras-place Reply STOP to opt out,116,1
Knuckleheads Sports Bar & Grill,+15048885858,bar,https://inkthorn.ai/crustacean?claim=knuckleheads-sports-bar-grill&cat=bar,https://inkt.ai/c/knuckleheads-sports-bar-grill,Hi Knuckleheads Sports Bar & Grill — your free GEO website is ready to claim: https://inkt.ai/c/knuckleheads-sports-bar-grill Reply STOP to opt out,147,1
Cheers,+15043542198,bar,https://inkthorn.ai/crustacean?claim=cheers&cat=bar,https://inkt.ai/c/cheers,Hi Cheers — your free GEO website is ready to claim: https://inkt.ai/c/cheers Reply STOP to opt out,99,1
Spotlight Bar & Grill,+15048892311,bar,https://inkthorn.ai/crustacean?claim=spotlight-bar-grill&cat=bar,https://inkt.ai/c/spotlight-bar-grill,Hi Spotlight Bar & Grill — your free GEO website is ready to claim: https://inkt.ai/c/spotlight-bar-grill Reply STOP to opt out,127,1
The Gas Station Bar,+15043245777,bar,https://inkthorn.ai/crustacean?claim=the-gas-station-bar&cat=bar,https://inkt.ai/c/the-gas-station-bar,Hi The Gas Station Bar — your free GEO website is ready to claim: https://inkt.ai/c/the-gas-station-bar Reply STOP to opt out,125,1
El Bunker Premium Hookah Club,+15044179838,bar,https://inkthorn.ai/crustacean?claim=el-bunker-premium-hookah-club&cat=bar,https://inkt.ai/c/el-bunker-premium-hookah-club,Hi El Bunker Premium Hookah Club — your free GEO website is ready to claim: https://inkt.ai/c/el-bunker-premium-hookah-club Reply STOP to opt out,145,1
Kings Lounge Dive Bar,+15042269080,bar,https://inkthorn.ai/crustacean?claim=kings-lounge-dive-bar&cat=bar,https://inkt.ai/c/kings-lounge-dive-bar,Hi Kings Lounge Dive Bar — your free GEO website is ready to claim: https://inkt.ai/c/kings-lounge-dive-bar Reply STOP to opt out,129,1
Westgate Tavern,+15044630299,bar,https://inkthorn.ai/crustacean?claim=westgate-tavern&cat=bar,https://inkt.ai/c/westgate-tavern,Hi Westgate Tavern — your free GEO website is ready to claim: https://inkt.ai/c/westgate-tavern Reply STOP to opt out,117,1
Round House Bar and Grill,+15042242466,bar,https://inkthorn.ai/crustacean?claim=round-house-bar-and-grill&cat=bar,https://inkt.ai/c/round-house-bar-and-grill,Hi Round House Bar and Grill — your free GEO website is ready to claim: https://inkt.ai/c/round-house-bar-and-grill Reply STOP to opt out,137,1
Pink Street Pub,+15043244894,bar,https://inkthorn.ai/crustacean?claim=pink-street-pub&cat=bar,https://inkt.ai/c/pink-street-pub,Hi Pink Street Pub — your free GEO website is ready to claim: https://inkt.ai/c/pink-street-pub Reply STOP to opt out,117,1
Mick's Irish Pub,+15044829113,bar,https://inkthorn.ai/crustacean?claim=micks-irish-pub&cat=bar,https://inkt.ai/c/micks-irish-pub,Hi Mick's Irish Pub — your free GEO website is ready to claim: https://inkt.ai/c/micks-irish-pub Reply STOP to opt out,118,1
The Blvd Bar,+15048347979,bar,https://inkthorn.ai/crustacean?claim=the-blvd-bar&cat=bar,https://inkt.ai/c/the-blvd-bar,Hi The Blvd Bar — your free GEO website is ready to claim: https://inkt.ai/c/the-blvd-bar Reply STOP to opt out,111,1
Dago's Cantina,+15044673246,bar,https://inkthorn.ai/crustacean?claim=dagos-cantina&cat=bar,https://inkt.ai/c/dagos-cantina,Hi Dago's Cantina — your free GEO website is ready to claim: https://inkt.ai/c/dagos-cantina Reply STOP to opt out,114,1
Dolly's Bar,+15043052731,bar,https://inkthorn.ai/crustacean?claim=dollys-bar&cat=bar,https://inkt.ai/c/dollys-bar,Hi Dolly's Bar — your free GEO website is ready to claim: https://inkt.ai/c/dollys-bar Reply STOP to opt out,108,1
Daiquiri Place,+15044647466,bar,https://inkthorn.ai/crustacean?claim=daiquiri-place&cat=bar,https://inkt.ai/c/daiquiri-place,Hi Daiquiri Place — your free GEO website is ready to claim: https://inkt.ai/c/daiquiri-place Reply STOP to opt out,115,1
Rootbeer's Sports Bar,+15044662066,bar,https://inkthorn.ai/crustacean?claim=rootbeers-sports-bar&cat=bar,https://inkt.ai/c/rootbeers-sports-bar,Hi Rootbeer's Sports Bar — your free GEO website is ready to claim: https://inkt.ai/c/rootbeers-sports-bar Reply STOP to opt out,128,1
The Takeoff Tavern and Grill,+15044702735,bar,https://inkthorn.ai/crustacean?claim=the-takeoff-tavern-and-grill&cat=bar,https://inkt.ai/c/the-takeoff-tavern-and-grill,Hi The Takeoff Tavern and Grill — your free GEO website is ready to claim: https://inkt.ai/c/the-takeoff-tavern-and-grill Reply STOP to opt out,143,1
3rd Rock Tavern,+15044650755,bar,https://inkthorn.ai/crustacean?claim=3rd-rock-tavern&cat=bar,https://inkt.ai/c/3rd-rock-tavern,Hi 3rd Rock Tavern — your free GEO website is ready to claim: https://inkt.ai/c/3rd-rock-tavern Reply STOP to opt out,117,1
RANCHO CHICO TAQUERIA Gas Station & Market,+15044055006,bar,https://inkthorn.ai/crustacean?claim=rancho-chico-taqueria-gas-station-market&cat=bar,https://inkt.ai/c/rancho-chico-taqueria-gas-station-market,Hi RANCHO CHICO TAQUERIA Gas Station & Market — your free GEO website is ready to claim: https://inkt.ai/c/rancho-chico-taqueria-gas-station-market Reply STOP to opt out,169,2
noche latina 94o,+15046138870,bar,https://inkthorn.ai/crustacean?claim=noche-latina-94o&cat=bar,https://inkt.ai/c/noche-latina-94o,Hi noche latina 94o — your free GEO website is ready to claim: https://inkt.ai/c/noche-latina-94o Reply STOP to opt out,119,1
The Gate Bar,+15044630299,bar,https://inkthorn.ai/crustacean?claim=the-gate-bar&cat=bar,https://inkt.ai/c/the-gate-bar,Hi The Gate Bar — your free GEO website is ready to claim: https://inkt.ai/c/the-gate-bar Reply STOP to opt out,111,1
B's Trudeau Tavern,+15044692221,bar,https://inkthorn.ai/crustacean?claim=bs-trudeau-tavern&cat=bar,https://inkt.ai/c/bs-trudeau-tavern,Hi B's Trudeau Tavern — your free GEO website is ready to claim: https://inkt.ai/c/bs-trudeau-tavern Reply STOP to opt out,122,1
Rudys Pub and Grub,+15044055404,bar,https://inkthorn.ai/crustacean?claim=rudys-pub-and-grub&cat=bar,https://inkt.ai/c/rudys-pub-and-grub,Hi Rudys Pub and Grub — your free GEO website is ready to claim: https://inkt.ai/c/rudys-pub-and-grub Reply STOP to opt out,123,1
Brewsky's Bar & Grill,+15043541911,bar,https://inkthorn.ai/crustacean?claim=brewskys-bar-grill&cat=bar,https://inkt.ai/c/brewskys-bar-grill,Hi Brewsky's Bar & Grill — your free GEO website is ready to claim: https://inkt.ai/c/brewskys-bar-grill Reply STOP to opt out,126,1
Rickshaw Lounge,+15047377005,bar,https://inkthorn.ai/crustacean?claim=rickshaw-lounge&cat=bar,https://inkt.ai/c/rickshaw-lounge,Hi Rickshaw Lounge — your free GEO website is ready to claim: https://inkt.ai/c/rickshaw-lounge Reply STOP to opt out,117,1
Tavern on Citrus,+15042185186,bar,https://inkthorn.ai/crustacean?claim=tavern-on-citrus&cat=bar,https://inkt.ai/c/tavern-on-citrus,Hi Tavern on Citrus — your free GEO website is ready to claim: https://inkt.ai/c/tavern-on-citrus Reply STOP to opt out,119,1
The Mill,+15043056167,bar,https://inkthorn.ai/crustacean?claim=the-mill&cat=bar,https://inkt.ai/c/the-mill,Hi The Mill — your free GEO website is ready to claim: https://inkt.ai/c/the-mill Reply STOP to opt out,103,1
Southern Prestige Promotions,+15042314705,bar,https://inkthorn.ai/crustacean?claim=southern-prestige-promotions&cat=bar,https://inkt.ai/c/southern-prestige-promotions,Hi Southern Prestige Promotions — your free GEO website is ready to claim: https://inkt.ai/c/southern-prestige-promotions Reply STOP to opt out,143,1
Riverside Tavern,+15047379044,bar,https://inkthorn.ai/crustacean?claim=riverside-tavern&cat=bar,https://inkt.ai/c/riverside-tavern,Hi Riverside Tavern — your free GEO website is ready to claim: https://inkt.ai/c/riverside-tavern Reply STOP to opt out,119,1
Uncle Matt's Bar,+15044702315,bar,https://inkthorn.ai/crustacean?claim=uncle-matts-bar&cat=bar,https://inkt.ai/c/uncle-matts-bar,Hi Uncle Matt's Bar — your free GEO website is ready to claim: https://inkt.ai/c/uncle-matts-bar Reply STOP to opt out,118,1
My Brother's Bar,+15047399030,bar,https://inkthorn.ai/crustacean?claim=my-brothers-bar&cat=bar,https://inkt.ai/c/my-brothers-bar,Hi My Brother's Bar — your free GEO website is ready to claim: https://inkt.ai/c/my-brothers-bar Reply STOP to opt out,118,1
Bar 61,+15042675853,bar,https://inkthorn.ai/crustacean?claim=bar-61&cat=bar,https://inkt.ai/c/bar-61,Hi Bar 61 — your free GEO website is ready to claim: https://inkt.ai/c/bar-61 Reply STOP to opt out,99,1
Bazile Triple C's Lounge,+15043584756,bar,https://inkthorn.ai/crustacean?claim=bazile-triple-cs-lounge&cat=bar,https://inkt.ai/c/bazile-triple-cs-lounge,Hi Bazile Triple C's Lounge — your free GEO website is ready to claim: https://inkt.ai/c/bazile-triple-cs-lounge Reply STOP to opt out,134,1
The Turtle,+15047376301,bar,https://inkthorn.ai/crustacean?claim=the-turtle&cat=bar,https://inkt.ai/c/the-turtle,Hi The Turtle — your free GEO website is ready to claim: https://inkt.ai/c/the-turtle Reply STOP to opt out,107,1
Pit Stop,+15048282928,bar,https://inkthorn.ai/crustacean?claim=pit-stop&cat=bar,https://inkt.ai/c/pit-stop,Hi Pit Stop — your free GEO website is ready to claim: https://inkt.ai/c/pit-stop Reply STOP to opt out,103,1
The Fan Sports Bar,+15043452835,bar,https://inkthorn.ai/crustacean?claim=the-fan-sports-bar&cat=bar,https://inkt.ai/c/the-fan-sports-bar,Hi The Fan Sports Bar — your free GEO website is ready to claim: https://inkt.ai/c/the-fan-sports-bar Reply STOP to opt out,123,1
Whiteys Pool Hall,+15048339122,bar,https://inkthorn.ai/crustacean?claim=whiteys-pool-hall&cat=bar,https://inkt.ai/c/whiteys-pool-hall,Hi Whiteys Pool Hall — your free GEO website is ready to claim: https://inkt.ai/c/whiteys-pool-hall Reply STOP to opt out,121,1
Clinic Bar,+15048388820,bar,https://inkthorn.ai/crustacean?claim=clinic-bar&cat=bar,https://inkt.ai/c/clinic-bar,Hi Clinic Bar — your free GEO website is ready to claim: https://inkt.ai/c/clinic-bar Reply STOP to opt out,107,1
Area1200Lounge,+15044006998,bar,https://inkthorn.ai/crustacean?claim=area1200lounge&cat=bar,https://inkt.ai/c/area1200lounge,Hi Area1200Lounge — your free GEO website is ready to claim: https://inkt.ai/c/area1200lounge Reply STOP to opt out,115,1
Players Pub,+15043019446,bar,https://inkthorn.ai/crustacean?claim=players-pub&cat=bar,https://inkt.ai/c/players-pub,Hi Players Pub — your free GEO website is ready to claim: https://inkt.ai/c/players-pub Reply STOP to opt out,109,1
Henry's Uptown Bar,+15043248140,bar,https://inkthorn.ai/crustacean?claim=henrys-uptown-bar&cat=bar,https://inkt.ai/c/henrys-uptown-bar,Hi Henry's Uptown Bar — your free GEO website is ready to claim: https://inkt.ai/c/henrys-uptown-bar Reply STOP to opt out,122,1
Grit's Bar,+15048999211,bar,https://inkthorn.ai/crustacean?claim=grits-bar&cat=bar,https://inkt.ai/c/grits-bar,Hi Grit's Bar — your free GEO website is ready to claim: https://inkt.ai/c/grits-bar Reply STOP to opt out,106,1
Perrin's Cajun Kitchen,+15043417097,bar,https://inkthorn.ai/crustacean?claim=perrins-cajun-kitchen&cat=bar,https://inkt.ai/c/perrins-cajun-kitchen,Hi Perrin's Cajun Kitchen — your free GEO website is ready to claim: https://inkt.ai/c/perrins-cajun-kitchen Reply STOP to opt out,130,1
Mona Lisa Lounge,+15043417097,bar,https://inkthorn.ai/crustacean?claim=mona-lisa-lounge&cat=bar,https://inkt.ai/c/mona-lisa-lounge,Hi Mona Lisa Lounge — your free GEO website is ready to claim: https://inkt.ai/c/mona-lisa-lounge Reply STOP to opt out,119,1
Daiquiri Shoppe,+15043482764,bar,https://inkthorn.ai/crustacean?claim=daiquiri-shoppe&cat=bar,https://inkt.ai/c/daiquiri-shoppe,Hi Daiquiri Shoppe — your free GEO website is ready to claim: https://inkt.ai/c/daiquiri-shoppe Reply STOP to opt out,117,1
